"","log2FoldChange","padj","Factor"
"ko:K02866",-0.375116531012294,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K02870",0.3377769489483,0.507229462895065,"Menthol_Menthol_vs_Control"
"ko:K02872",-0.875635629439488,0.833440711964174,"Menthol_Menthol_vs_Control"
"ko:K02873",0.365174608137285,0.881512699503934,"Menthol_Menthol_vs_Control"
"ko:K02877",0.614700357941252,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K02880",-0.382795732722647,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K02882",-0.304317442548757,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K02885",-0.84823059513774,0.828092446690565,"Menthol_Menthol_vs_Control"
"ko:K02889",-0.13934156631773,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K02891",-1.70399346642757,0.833440711964174,"Menthol_Menthol_vs_Control"
"ko:K02896",-0.322466754497973,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K02898",-0.378131215838278,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K02900",-0.523225717493968,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K02901",-0.00228632062307854,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K02905",0.193628274720568,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K02908",0.782071777527778,0.833440711964174,"Menthol_Menthol_vs_Control"
"ko:K02910",0.0239777679408511,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K02915",-0.295097194411851,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K02917",-0.456055034573083,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K02918",0.18546393040169,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K02920",-0.325727733109254,0.995514422114898,"Menthol_Menthol_vs_Control"
"ko:K02921",-1.35098380358857,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K02923",-0.0669211738243633,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K02924",-0.555319865500514,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K02929",-1.43270702974504,0.306844549016718,"Menthol_Menthol_vs_Control"
"ko:K02930",-0.623362906755933,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K02932",0.0907104411606698,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K02936",-0.266175427964878,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K02937",1.36642450241233,0.71985399048068,"Menthol_Menthol_vs_Control"
"ko:K02938",-0.628096050502923,0.833440711964174,"Menthol_Menthol_vs_Control"
"ko:K02941",-0.471367419490577,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K02947",-0.191037114172931,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K02949",0.396281921794881,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K02951",0.659733412480912,0.958442639970006,"Menthol_Menthol_vs_Control"
"ko:K02953",0.729243352862496,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K02955",0.0540774023345101,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K02958",0.103954517990972,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K02962",-0.341503738079018,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K02966",0.180016541247611,0.995514422114898,"Menthol_Menthol_vs_Control"
"ko:K02969",-1.4279894029478,0.833440711964174,"Menthol_Menthol_vs_Control"
"ko:K02971",-0.732795571049942,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K02973",0.987756640902881,0.947209069430956,"Menthol_Menthol_vs_Control"
"ko:K02975",-0.982489398425545,0.854768993279775,"Menthol_Menthol_vs_Control"
"ko:K02976",-1.34451397734192,0.833440711964174,"Menthol_Menthol_vs_Control"
"ko:K02978",-0.582487282784457,0.71985399048068,"Menthol_Menthol_vs_Control"
"ko:K02980",-1.08262392889169,0.552584998361037,"Menthol_Menthol_vs_Control"
"ko:K02981",-1.10623686608746,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K02983",0.338934669517166,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K02984",0.717707410089462,0.828092446690565,"Menthol_Menthol_vs_Control"
"ko:K02985",-0.151391105642045,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K02987",0.79365085382766,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K02991",-0.165028155266251,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K02992",-0.371617601340521,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K02993",-0.720062283583147,0.241958159975776,"Menthol_Menthol_vs_Control"
"ko:K02995",0.0459259398226063,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K03007",-0.714138116009448,0.958442639970006,"Menthol_Menthol_vs_Control"
"ko:K03008",0.735455880632725,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K03012",-0.0017745500557315,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K03015",0.489316254772439,0.961916795994164,"Menthol_Menthol_vs_Control"
